🨀 Neutral Chess King
🨁 Neutral Chess Queen
🨂 Neutral Chess Rook
🨃 Neutral Chess Bishop
🨄 Neutral Chess Knight
🨅 Neutral Chess Pawn
🨆 White Chess Knight Rotated Forty-Five Degrees
🨇 Black Chess Knight Rotated Forty-Five Degrees
🨈 Neutral Chess Knight Rotated Forty-Five Degrees
🨉 White Chess King Rotated Ninety Degrees
🨊 White Chess Queen Rotated Ninety Degrees
🨋 White Chess Rook Rotated Ninety Degrees
🨌 White Chess Bishop Rotated Ninety Degrees
🨍 White Chess Knight Rotated Ninety Degrees
🨎 White Chess Pawn Rotated Ninety Degrees
🨏 Black Chess King Rotated Ninety Degrees
🨐 Black Chess Queen Rotated Ninety Degrees
🨑 Black Chess Rook Rotated Ninety Degrees
🨒 Black Chess Bishop Rotated Ninety Degrees
🨓 Black Chess Knight Rotated Ninety Degrees
🨔 Black Chess Pawn Rotated Ninety Degrees
🨕 Neutral Chess King Rotated Ninety Degrees
🨖 Neutral Chess Queen Rotated Ninety Degrees
🨗 Neutral Chess Rook Rotated Ninety Degrees
🨘 Neutral Chess Bishop Rotated Ninety Degrees
🨙 Neutral Chess Knight Rotated Ninety Degrees
🨚 Neutral Chess Pawn Rotated Ninety Degrees
🨛 White Chess Knight Rotated One Hundred Thirty-Five Degrees
🨜 Black Chess Knight Rotated One Hundred Thirty-Five Degrees
🨝 Neutral Chess Knight Rotated One Hundred Thirty-Five Degrees
🨞 White Chess Turned King
🨟 White Chess Turned Queen
🨠 White Chess Turned Rook
🨡 White Chess Turned Bishop
🨢 White Chess Turned Knight
🨣 White Chess Turned Pawn
🨤 Black Chess Turned King
🨥 Black Chess Turned Queen
🨦 Black Chess Turned Rook
🨧 Black Chess Turned Bishop
🨨 Black Chess Turned Knight
🨩 Black Chess Turned Pawn
🨪 Neutral Chess Turned King
🨫 Neutral Chess Turned Queen
🨬 Neutral Chess Turned Rook
🨭 Neutral Chess Turned Bishop
🨮 Neutral Chess Turned Knight
🨯 Neutral Chess Turned Pawn
🨰 White Chess Knight Rotated Two Hundred Twenty-Five Degrees
🨱 Black Chess Knight Rotated Two Hundred Twenty-Five Degrees
🨲 Neutral Chess Knight Rotated Two Hundred Twenty-Five Degrees
🨳 White Chess King Rotated Two Hundred Seventy Degrees
🨴 White Chess Queen Rotated Two Hundred Seventy Degrees
🨵 White Chess Rook Rotated Two Hundred Seventy Degrees
🨶 White Chess Bishop Rotated Two Hundred Seventy Degrees
🨷 White Chess Knight Rotated Two Hundred Seventy Degrees
🨸 White Chess Pawn Rotated Two Hundred Seventy Degrees
🨹 Black Chess King Rotated Two Hundred Seventy Degrees
🨺 Black Chess Queen Rotated Two Hundred Seventy Degrees
🨻 Black Chess Rook Rotated Two Hundred Seventy Degrees
🨼 Black Chess Bishop Rotated Two Hundred Seventy Degrees
🨽 Black Chess Knight Rotated Two Hundred Seventy Degrees
🨾 Black Chess Pawn Rotated Two Hundred Seventy Degrees
🨿 Neutral Chess King Rotated Two Hundred Seventy Degrees
🩀 Neutral Chess Queen Rotated Two Hundred Seventy Degrees
🩁 Neutral Chess Rook Rotated Two Hundred Seventy Degrees
🩂 Neutral Chess Bishop Rotated Two Hundred Seventy Degrees
🩃 Neutral Chess Knight Rotated Two Hundred Seventy Degrees
🩄 Neutral Chess Pawn Rotated Two Hundred Seventy Degrees
🩅 White Chess Knight Rotated Three Hundred Fifteen Degrees
🩆 Black Chess Knight Rotated Three Hundred Fifteen Degrees
🩇 Neutral Chess Knight Rotated Three Hundred Fifteen Degrees
🩈 White Chess Equihopper
🩉 Black Chess Equihopper
🩊 Neutral Chess Equihopper
🩋 White Chess Equihopper Rotated Ninety Degrees
🩌 Black Chess Equihopper Rotated Ninety Degrees
🩍 Neutral Chess Equihopper Rotated Ninety Degrees
🩎 White Chess Knight-Queen
🩏 White Chess Knight-Rook
🩐 White Chess Knight-Bishop
🩑 Black Chess Knight-Queen
🩒 Black Chess Knight-Rook
🩓 Black Chess Knight-Bishop
🩠 Xiangqi Red General
🩡 Xiangqi Red Mandarin
🩢 Xiangqi Red Elephant
🩣 Xiangqi Red Horse
🩤 Xiangqi Red Chariot
🩥 Xiangqi Red Cannon
🩦 Xiangqi Red Soldier
🩧 Xiangqi Black General
🩨 Xiangqi Black Mandarin
🩩 Xiangqi Black Elephant
🩪 Xiangqi Black Horse
🩫 Xiangqi Black Chariot
🩬 Xiangqi Black Cannon
🩭 Xiangqi Black Soldier
