✀ Black Safety Scissors
✁ Upper Blade Scissors
✂ Black Scissors
✃ Lower Blade Scissors
✄ White Scissors
✅ White Heavy Check Mark
✆ Telephone Location Sign
✇ Tape Drive
✈ Airplane
✉ Envelope
✊ Raised Fist
✋ Raised Hand
✌ Victory Hand
✍ Writing Hand
✎ Lower Right Pencil
✏ Pencil
✐ Upper Right Pencil
✑ White Nib
✒ Black Nib
✓ Check Mark
✔ Heavy Check Mark
✕ Multiplication X
✖ Heavy Multiplication X
✗ Ballot X
✘ Heavy Ballot X
✙ Outlined Greek Cross
✚ Heavy Greek Cross
✛ Open Centre Cross
✜ Heavy Open Centre Cross
✝ Latin Cross
✞ Shadowed White Latin Cross
✟ Outlined Latin Cross
✠ Maltese Cross
✡ Star Of David
✢ Four Teardrop-Spoked Asterisk
✣ Four Balloon-Spoked Asterisk
✤ Heavy Four Balloon-Spoked Asterisk
✥ Four Club-Spoked Asterisk
✦ Black Four Pointed Star
✧ White Four Pointed Star
✨ Sparkles
✩ Stress Outlined White Star
✪ Circled White Star
✫ Open Centre Black Star
✬ Black Centre White Star
✭ Outlined Black Star
✮ Heavy Outlined Black Star
✯ Pinwheel Star
✰ Shadowed White Star
✱ Heavy Asterisk
✲ Open Centre Asterisk
✳ Eight Spoked Asterisk
✴ Eight Pointed Black Star
✵ Eight Pointed Pinwheel Star
✶ Six Pointed Black Star
✷ Eight Pointed Rectilinear Black Star
✸ Heavy Eight Pointed Rectilinear Black Star
✹ Twelve Pointed Black Star
✺ Sixteen Pointed Asterisk
✻ Teardrop-Spoked Asterisk
✼ Open Centre Teardrop-Spoked Asterisk
✽ Heavy Teardrop-Spoked Asterisk
✾ Six Petalled Black And White Florette
✿ Black Florette
❀ White Florette
❁ Eight Petalled Outlined Black Florette
❂ Circled Open Centre Eight Pointed Star
❃ Heavy Teardrop-Spoked Pinwheel Asterisk
❄ Snowflake
❅ Tight Trifoliate Snowflake
❆ Heavy Chevron Snowflake
❇ Sparkle
❈ Heavy Sparkle
❉ Balloon-Spoked Asterisk
