倬 Thak
倭 Wi Way
倮 La
倰 Lung
倱 Hon
倲 Tong
倳 Sa
倴 Pwun
倶 Kwu
倹 Kem
倻 Ya
值 Chi
偁 Ching
偃 En
偄 Nan Yen
偅 Tong
偆 Chwun
假 Ka Ha
偈 Key Kel
偉 Wi
偊 Yu
偌 Ya
偎 Oy
偏 Phyen
偐 An
偒 Thang
偓 Ak
偕 Hay Hyey
偖 Cha
偘 Kan
做 Cwu Ca
偛 Sap
停 Ceng
偝 Pay
偞 Yep
偟 Hwang
偠 Yo
偢 Cho
健 Ken Kyen
偨 Chi
偩 Pwu
偪 Phip
偫 Chi
偬 Chong
偭 Myen
偯 Uy
偰 Sel
偲 Si
側 Chuk
偵 Ceng
偶 Wu
偷 Thwu
偸 Thwu
偹 Pi
偽 Wi
傀 Koy
傃 So
傅 Pwu
傋 Kang
傌 Ma
傍 Pang Phayng
傎 Cen
傑 Kel
傒 Hyey
傓 Sen
傔 Kyem
傕 Kak
傖 Chang
傘 San
備 Pi
傚 Hyo
傛 Yong
傜 Yo
傝 Thap
傞 Sa
傢 Ka
催 Choy
傭 Yong Chwung
傮 Co
傯 Chong
傰 Pwung
傲 O
傳 Cen
傴 Kwu
債 Chay
傷 Sang
傺 Cey
傻 Sa
傽 Cang
傾 Kyeng
傿 En
僁 Sel
僂 Lwu
僄 Phyo
僅 Kun
僆 Lyen
僇 Lyuk
僈 Man
僉 Chem
僊 Sen
僋 Tham
働 Tong
僎 Cwun Sen
像 Sang
僑 Kyo
僒 Kwun
僔 Cwun
僕 Pok
僖 Huy
僚 Lyo
僛 Ki
僝 Can
僞 Wi
僟 Ki
僢 Chen
僣 Cham
僤 Than
僥 Yo
僦 Chwu
僧 Sung
僨 Pwun
僩 Han
僪 Kyel
僬 Cho
僭 Cham
僮 Tong
僰 Pwuk
僵 Kang
僶 Min
僷 Yep
僸 Kum
價 Ka
僻 Pyek Phi
僽 Chwu
僾 Ay
僿 Sa
儀 Uy
儁 Cwun
儂 Nong
儃 Chen
億 Ek
儆 Kyeng
儇 Hyen
儈 Koy
儉 Kem
儋 Tam
儌 Kyo
儐 Pin
儑 Ap
儒 Yu
儓 Tay
儔 Cwu
儕 Cey
儗 Uy
儘 Cin
儚 Meng
儛 Mwu
儜 Nyeng
償 Sang
儠 Lyep
儡 Loy
儢 Lye
儤 Pho
儥 Yuk
儦 Phyo
儧 Chan
儨 Cil
儩 Sa
優 Wu
儫 Ho
儭 Chun
儱 Long
儲 Ce
儳 Cham
儴 Sang
儵 Swuk
儶 Hyey Hyu
儷 Lye
儸 La
儹 Chan
儺 Na
儻 Tang
儼 Em
儽 Lay
儿 In Kwey
兀 Ol
允 Yun
兂 Cam
元 Wen
兄 Hyeng
充 Chwung
兆 Co
兇 Hyung
先 Sen
光 Kwang
兊 Thay
克 Kuk
兌 Thay Yey
免 Myen Mwun
兎 Tho
児 A
兑 Thay Yey
兒 A
兓 Chim Chan
兔 Tho
兕 Si
兖 Yen
兗 Yen
兙 Sip
党 Tang
兛 Chen
兜 Twu
兟 Sin
兡 Payk
兢 Kung
入 Ip
兦 Mang Mwu
內 Nay Nap
全 Cen
兩 Lyang
兪 Yu
八 Phal
公 Kong
六 Lyuk
兮 Hyey
共 Kong
兵 Pyeng
其 Ki
具 Kwu
典 Cen
兹 Ca
兺 Ppwun
兼 Kyem
冀 Ki
冂 Kyeng
冃 Mo
冄 Yem
内 Nay Nap
円 Wen Yeyn
冉 Yem
冊 Chayk
册 Chayk
再 Cay
冏 Kyeng
冐 Mo
冑 Cwu
冒 Mo Mok
冓 Kwu
冔 Hwu
冕 Myen
冖 Myek
冗 Yong
冘 Yu
写 Sa
冝 Uy
冞 Mi
冟 Sek
冠 Kwan
冡 Mong
冢 Chong
冣 Chwi
冤 Wen
冥 Myeng
冨 Pwu
冩 Sa
冪 Myek
冫 Ping
冬 Tong
冰 Ping
冱 Ho
冲 Chwung
决 Kyel
冴 Ho
况 Hwang
冶 Ya
冷 Layng
冸 Pan
冹 Pwul
冽 Lyel
凁 Swu
凄 Che
凅 Ko
准 Cwun
凇 Song
凈 Ceng
凉 Lyang
凊 Cheng
凋 Co
凌 Lung
凍 Tong
减 Kam
凑 Cwu
凒 Uy
凓 Yul
凔 Chang
凖 Cwun
凗 Choy
凘 Si
凚 Kum
凛 Lum
凜 Lum
凝 Ung
凞 Huy
几 Kwey
凡 Pem
凢 Pem
凣 Pem
凥 Ke
処 Che
凨 Phwung
凩 Mok
凪 Ci
凭 Ping
凮 Phwung
凰 Hwang
凱 Kay
凳 Tung
凴 Ping
凵 Kam
凶 Hyung
凷 Koy
凸 Chel Tol
凹 Yo
出 Chwul Chwu
函 Ham
凾 Ham
刀 To
刁 Co
刂 To
刃 In
刄 In
刅 Chang
分 Pwun Phwun
切 Cel Chey
刈 Yey
刊 Kan
刋 Chen
刌 Chon
刎 Mwun
刏 Ki
刑 Hyeng
划 Hwa
刓 Wan
刔 Kyel
刕 Li Lye
刖 Wel
列 Lyel
刘 Lyu
刜 Pwul
初 Cho
删 San
判 Phan
別 Pyel
刦 Kep
刧 Kep
刨 Pho
利 Li
刪 San
别 Pyel
刮 Kwal
到 To
刱 Chang
刲 Kyu
刳 Ko
刴 Tha
刵 I
制 Cey
刷 Sway
券 Kwen
刹 Chal
刺 Ca Chek
刻 Kak
剃 Chey
剄 Kyeng
則 Chik Chuk
剉 Cwa
削 Sak
剋 Kuk
剌 Lal
前 Cen
剎 Chal
剏 Chang
剒 Chak Cak
剓 Li
剔 Chek
剕 Pi
剖 Pwu
剗 Can
剙 Chang
剚 Sa
剛 Kang
剜 Wan
剝 Pak
剞 Ki
剟 Chel
剠 Kyeng Lyang Lyak
剡 Sem
剣 Kem
剥 Pak
剦 Em
剨 Koyk
剩 Ing
剪 Cen
剫 Thak
剬 Tan
剭 Ok Ak
