𖿠 Tangut Iteration Mark
𖿡 Nushu Iteration Mark
𖿢 Old Chinese Hook Mark
𖿣 Old Chinese Iteration Mark
𖿤 Khitan Small Script Filler
𖿰 Vietnamese Alternate Reading Mark Ca
𖿱 Vietnamese Alternate Reading Mark Nhay
𖿲 Chinese Small Simplified Er
𖿳 Chinese Small Traditional Er
𖿴 Yangqin Sign Slow One Beat
𖿵 Yangqin Sign Slow Three Half Beats
𖿶 Yangqin Sign Slow Two Beats
