▀ Upper Half Block
▁ Lower One Eighth Block
▂ Lower One Quarter Block
▃ Lower Three Eighths Block
▄ Lower Half Block
▅ Lower Five Eighths Block
▆ Lower Three Quarters Block
▇ Lower Seven Eighths Block
█ Full Block
▉ Left Seven Eighths Block
▊ Left Three Quarters Block
▋ Left Five Eighths Block
▌ Left Half Block
▍ Left Three Eighths Block
▎ Left One Quarter Block
▏ Left One Eighth Block
▐ Right Half Block
░ Light Shade
▒ Medium Shade
▓ Dark Shade
▔ Upper One Eighth Block
▕ Right One Eighth Block
▖ Quadrant Lower Left
▗ Quadrant Lower Right
▘ Quadrant Upper Left
▙ Quadrant Upper Left And Lower Left And Lower Right
▚ Quadrant Upper Left And Lower Right
▛ Quadrant Upper Left And Upper Right And Lower Left
▜ Quadrant Upper Left And Upper Right And Lower Right
▝ Quadrant Upper Right
▞ Quadrant Upper Right And Lower Left
▟ Quadrant Upper Right And Lower Left And Lower Right
