𛰀 Duployan Letter H
𛰁 Duployan Letter X
𛰂 Duployan Letter P
𛰃 Duployan Letter T
𛰄 Duployan Letter F
𛰅 Duployan Letter K
𛰆 Duployan Letter L
𛰇 Duployan Letter B
𛰈 Duployan Letter D
𛰉 Duployan Letter V
𛰊 Duployan Letter G
𛰋 Duployan Letter R
𛰌 Duployan Letter P N
𛰍 Duployan Letter D S
𛰎 Duployan Letter F N
𛰏 Duployan Letter K M
𛰐 Duployan Letter R S
𛰑 Duployan Letter Th
𛰒 Duployan Letter Sloan Dh
𛰓 Duployan Letter Dh
𛰔 Duployan Letter Kk
𛰕 Duployan Letter Sloan J
𛰖 Duployan Letter Hl
𛰗 Duployan Letter Lh
𛰘 Duployan Letter Rh
𛰙 Duployan Letter M
𛰚 Duployan Letter N
𛰛 Duployan Letter J
𛰜 Duployan Letter S
𛰝 Duployan Letter M N
𛰞 Duployan Letter N M
𛰟 Duployan Letter J M
𛰠 Duployan Letter S J
𛰡 Duployan Letter M With Dot
𛰢 Duployan Letter N With Dot
𛰣 Duployan Letter J With Dot
𛰤 Duployan Letter J With Dots Inside And Above
𛰥 Duployan Letter S With Dot
𛰦 Duployan Letter S With Dot Below
𛰧 Duployan Letter M S
𛰨 Duployan Letter N S
𛰩 Duployan Letter J S
𛰪 Duployan Letter S S
𛰫 Duployan Letter M N S
𛰬 Duployan Letter N M S
𛰭 Duployan Letter J M S
𛰮 Duployan Letter S J S
𛰯 Duployan Letter J S With Dot
𛰰 Duployan Letter J N
𛰱 Duployan Letter J N S
𛰲 Duployan Letter S T
𛰳 Duployan Letter S T R
𛰴 Duployan Letter S P
𛰵 Duployan Letter S P R
𛰶 Duployan Letter T S
𛰷 Duployan Letter T R S
𛰸 Duployan Letter W
𛰹 Duployan Letter Wh
𛰺 Duployan Letter W R
𛰻 Duployan Letter S N
𛰼 Duployan Letter S M
𛰽 Duployan Letter K R S
𛰾 Duployan Letter G R S
𛰿 Duployan Letter S K
𛱀 Duployan Letter S K R
𛱁 Duployan Letter A
𛱂 Duployan Letter Sloan Ow
𛱃 Duployan Letter Oa
𛱄 Duployan Letter O
𛱅 Duployan Letter Aou
𛱆 Duployan Letter I
𛱇 Duployan Letter E
𛱈 Duployan Letter Ie
𛱉 Duployan Letter Short I
𛱊 Duployan Letter Ui
𛱋 Duployan Letter Ee
𛱌 Duployan Letter Sloan Eh
𛱍 Duployan Letter Romanian I
𛱎 Duployan Letter Sloan Ee
𛱏 Duployan Letter Long I
𛱐 Duployan Letter Ye
𛱑 Duployan Letter U
𛱒 Duployan Letter Eu
𛱓 Duployan Letter Xw
𛱔 Duployan Letter U N
𛱕 Duployan Letter Long U
𛱖 Duployan Letter Romanian U
𛱗 Duployan Letter Uh
𛱘 Duployan Letter Sloan U
𛱙 Duployan Letter Ooh
𛱚 Duployan Letter Ow
𛱛 Duployan Letter Ou
𛱜 Duployan Letter Wa
𛱝 Duployan Letter Wo
𛱞 Duployan Letter Wi
𛱟 Duployan Letter Wei
𛱠 Duployan Letter Wow
𛱡 Duployan Letter Nasal U
𛱢 Duployan Letter Nasal O
𛱣 Duployan Letter Nasal I
𛱤 Duployan Letter Nasal A
𛱥 Duployan Letter Pernin An
𛱦 Duployan Letter Pernin Am
𛱧 Duployan Letter Sloan En
𛱨 Duployan Letter Sloan An
𛱩 Duployan Letter Sloan On
𛱪 Duployan Letter Vocalic M
𛱰 Duployan Affix Left Horizontal Secant
𛱱 Duployan Affix Mid Horizontal Secant
𛱲 Duployan Affix Right Horizontal Secant
𛱳 Duployan Affix Low Vertical Secant
𛱴 Duployan Affix Mid Vertical Secant
𛱵 Duployan Affix High Vertical Secant
𛱶 Duployan Affix Attached Secant
𛱷 Duployan Affix Attached Left-To-Right Secant
𛱸 Duployan Affix Attached Tangent
𛱹 Duployan Affix Attached Tail
𛱺 Duployan Affix Attached E Hook
𛱻 Duployan Affix Attached I Hook
𛱼 Duployan Affix Attached Tangent Hook
𛲀 Duployan Affix High Acute
𛲁 Duployan Affix High Tight Acute
𛲂 Duployan Affix High Grave
𛲃 Duployan Affix High Long Grave
𛲄 Duployan Affix High Dot
𛲅 Duployan Affix High Circle
𛲆 Duployan Affix High Line
𛲇 Duployan Affix High Wave
𛲈 Duployan Affix High Vertical
𛲐 Duployan Affix Low Acute
𛲑 Duployan Affix Low Tight Acute
𛲒 Duployan Affix Low Grave
𛲓 Duployan Affix Low Long Grave
𛲔 Duployan Affix Low Dot
𛲕 Duployan Affix Low Circle
𛲖 Duployan Affix Low Line
𛲗 Duployan Affix Low Wave
𛲘 Duployan Affix Low Vertical
𛲙 Duployan Affix Low Arrow
𛲜 Duployan Sign O With Cross
𛲝 Duployan Thick Letter Selector
𛲞 Duployan Double Mark
𛲟 Duployan Punctuation Chinook Full Stop
