␀ Symbol For Null
␁ Symbol For Start Of Heading
␂ Symbol For Start Of Text
␃ Symbol For End Of Text
␄ Symbol For End Of Transmission
␅ Symbol For Enquiry
␆ Symbol For Acknowledge
␇ Symbol For Bell
␈ Symbol For Backspace
␉ Symbol For Horizontal Tabulation
␊ Symbol For Line Feed
␋ Symbol For Vertical Tabulation
␌ Symbol For Form Feed
␍ Symbol For Carriage Return
␎ Symbol For Shift Out
␏ Symbol For Shift In
␐ Symbol For Data Link Escape
␑ Symbol For Device Control One
␒ Symbol For Device Control Two
␓ Symbol For Device Control Three
␔ Symbol For Device Control Four
␕ Symbol For Negative Acknowledge
␖ Symbol For Synchronous Idle
␗ Symbol For End Of Transmission Block
␘ Symbol For Cancel
␙ Symbol For End Of Medium
␚ Symbol For Substitute
␛ Symbol For Escape
␜ Symbol For File Separator
␝ Symbol For Group Separator
␞ Symbol For Record Separator
␟ Symbol For Unit Separator
␠ Symbol For Space
␡ Symbol For Delete
␢ Blank Symbol
␣ Open Box
␤ Symbol For Newline
␥ Symbol For Delete Form Two
␦ Symbol For Substitute Form Two
