᠀ Mongolian Birga
᠁ Mongolian Ellipsis
᠂ Mongolian Comma
᠃ Mongolian Full Stop
᠄ Mongolian Colon
᠅ Mongolian Four Dots
᠆ Mongolian Todo Soft Hyphen
᠇ Mongolian Sibe Syllable Boundary Marker
᠈ Mongolian Manchu Comma
᠉ Mongolian Manchu Full Stop
᠊ Mongolian Nirugu
᠋ Mongolian Free Variation Selector One
᠌ Mongolian Free Variation Selector Two
᠍ Mongolian Free Variation Selector Three
᠎ Mongolian Vowel Separator
᠏ Mongolian Free Variation Selector Four
᠐ Mongolian Digit Zero
᠑ Mongolian Digit One
᠒ Mongolian Digit Two
᠓ Mongolian Digit Three
᠔ Mongolian Digit Four
᠕ Mongolian Digit Five
᠖ Mongolian Digit Six
᠗ Mongolian Digit Seven
᠘ Mongolian Digit Eight
᠙ Mongolian Digit Nine
ᠠ Mongolian Letter A
ᠡ Mongolian Letter E
ᠢ Mongolian Letter I
ᠣ Mongolian Letter O
ᠤ Mongolian Letter U
ᠥ Mongolian Letter Oe
ᠦ Mongolian Letter Ue
ᠧ Mongolian Letter Ee
ᠨ Mongolian Letter Na
ᠩ Mongolian Letter Ang
ᠪ Mongolian Letter Ba
ᠫ Mongolian Letter Pa
ᠬ Mongolian Letter Qa
ᠭ Mongolian Letter Ga
ᠮ Mongolian Letter Ma
ᠯ Mongolian Letter La
ᠰ Mongolian Letter Sa
ᠱ Mongolian Letter Sha
ᠲ Mongolian Letter Ta
ᠳ Mongolian Letter Da
ᠴ Mongolian Letter Cha
ᠵ Mongolian Letter Ja
ᠶ Mongolian Letter Ya
ᠷ Mongolian Letter Ra
ᠸ Mongolian Letter Wa
ᠹ Mongolian Letter Fa
ᠺ Mongolian Letter Ka
ᠻ Mongolian Letter Kha
ᠼ Mongolian Letter Tsa
ᠽ Mongolian Letter Za
ᠾ Mongolian Letter Haa
ᠿ Mongolian Letter Zra
ᡀ Mongolian Letter Lha
ᡁ Mongolian Letter Zhi
ᡂ Mongolian Letter Chi
ᡃ Mongolian Letter Todo Long Vowel Sign
ᡄ Mongolian Letter Todo E
ᡅ Mongolian Letter Todo I
ᡆ Mongolian Letter Todo O
ᡇ Mongolian Letter Todo U
ᡈ Mongolian Letter Todo Oe
ᡉ Mongolian Letter Todo Ue
ᡊ Mongolian Letter Todo Ang
ᡋ Mongolian Letter Todo Ba
ᡌ Mongolian Letter Todo Pa
ᡍ Mongolian Letter Todo Qa
ᡎ Mongolian Letter Todo Ga
ᡏ Mongolian Letter Todo Ma
ᡐ Mongolian Letter Todo Ta
ᡑ Mongolian Letter Todo Da
ᡒ Mongolian Letter Todo Cha
ᡓ Mongolian Letter Todo Ja
ᡔ Mongolian Letter Todo Tsa
ᡕ Mongolian Letter Todo Ya
ᡖ Mongolian Letter Todo Wa
ᡗ Mongolian Letter Todo Ka
ᡘ Mongolian Letter Todo Gaa
ᡙ Mongolian Letter Todo Haa
ᡚ Mongolian Letter Todo Jia
ᡛ Mongolian Letter Todo Nia
ᡜ Mongolian Letter Todo Dza
ᡝ Mongolian Letter Sibe E
ᡞ Mongolian Letter Sibe I
ᡟ Mongolian Letter Sibe Iy
ᡠ Mongolian Letter Sibe Ue
ᡡ Mongolian Letter Sibe U
ᡢ Mongolian Letter Sibe Ang
ᡣ Mongolian Letter Sibe Ka
ᡤ Mongolian Letter Sibe Ga
ᡥ Mongolian Letter Sibe Ha
ᡦ Mongolian Letter Sibe Pa
ᡧ Mongolian Letter Sibe Sha
ᡨ Mongolian Letter Sibe Ta
ᡩ Mongolian Letter Sibe Da
ᡪ Mongolian Letter Sibe Ja
ᡫ Mongolian Letter Sibe Fa
ᡬ Mongolian Letter Sibe Gaa
ᡭ Mongolian Letter Sibe Haa
ᡮ Mongolian Letter Sibe Tsa
ᡯ Mongolian Letter Sibe Za
ᡰ Mongolian Letter Sibe Raa
ᡱ Mongolian Letter Sibe Cha
ᡲ Mongolian Letter Sibe Zha
ᡳ Mongolian Letter Manchu I
ᡴ Mongolian Letter Manchu Ka
ᡵ Mongolian Letter Manchu Ra
ᡶ Mongolian Letter Manchu Fa
ᡷ Mongolian Letter Manchu Zha
ᡸ Mongolian Letter Cha With Two Dots
ᢀ Mongolian Letter Ali Gali Anusvara One
ᢁ Mongolian Letter Ali Gali Visarga One
ᢂ Mongolian Letter Ali Gali Damaru
ᢃ Mongolian Letter Ali Gali Ubadama
ᢄ Mongolian Letter Ali Gali Inverted Ubadama
ᢅ Mongolian Letter Ali Gali Baluda
ᢆ Mongolian Letter Ali Gali Three Baluda
ᢇ Mongolian Letter Ali Gali A
ᢈ Mongolian Letter Ali Gali I
ᢉ Mongolian Letter Ali Gali Ka
ᢊ Mongolian Letter Ali Gali Nga
ᢋ Mongolian Letter Ali Gali Ca
ᢌ Mongolian Letter Ali Gali Tta
ᢍ Mongolian Letter Ali Gali Ttha
ᢎ Mongolian Letter Ali Gali Dda
ᢏ Mongolian Letter Ali Gali Nna
ᢐ Mongolian Letter Ali Gali Ta
ᢑ Mongolian Letter Ali Gali Da
ᢒ Mongolian Letter Ali Gali Pa
ᢓ Mongolian Letter Ali Gali Pha
ᢔ Mongolian Letter Ali Gali Ssa
ᢕ Mongolian Letter Ali Gali Zha
ᢖ Mongolian Letter Ali Gali Za
ᢗ Mongolian Letter Ali Gali Ah
ᢘ Mongolian Letter Todo Ali Gali Ta
ᢙ Mongolian Letter Todo Ali Gali Zha
ᢚ Mongolian Letter Manchu Ali Gali Gha
ᢛ Mongolian Letter Manchu Ali Gali Nga
ᢜ Mongolian Letter Manchu Ali Gali Ca
ᢝ Mongolian Letter Manchu Ali Gali Jha
ᢞ Mongolian Letter Manchu Ali Gali Tta
ᢟ Mongolian Letter Manchu Ali Gali Ddha
ᢠ Mongolian Letter Manchu Ali Gali Ta
ᢡ Mongolian Letter Manchu Ali Gali Dha
ᢢ Mongolian Letter Manchu Ali Gali Ssa
ᢣ Mongolian Letter Manchu Ali Gali Cya
ᢤ Mongolian Letter Manchu Ali Gali Zha
ᢥ Mongolian Letter Manchu Ali Gali Za
ᢦ Mongolian Letter Ali Gali Half U
ᢧ Mongolian Letter Ali Gali Half Ya
ᢨ Mongolian Letter Manchu Ali Gali Bha
ᢩ Mongolian Letter Ali Gali Dagalga
ᢪ Mongolian Letter Manchu Ali Gali Lha
