🦰 red hair <small>(ginger, red hair, redhead)</small>
🦱 curly hair <small>(afro, curly, curly hair, ringlets)</small>
🦳 white hair <small>(gray, hair, old, white)</small>
🦲 bald <small>(bald, chemotherapy, hairless, no hair, shaven)</small>
