㞮 Deru Dasu
㟢 Saki
㡡 Tobari Kaya
一 Hitotsu Hitotabi Hajime
丁 Hinoto Ataru Yoboro
丂 Samatagerareru
七 Nanatsu Nanatabi
丄 Ue Kami
丅 Shimo
万 Yorozu
丈 Take Dake
三 Mitsu Mitabi
上 Ue Kami Noboru
下 Shita Shimo Moto
丌 Sono Sore Dai
不 Sezu Niarazu Inaya
与 Ataeru Kumisuru Tomoni
丏 Mienu
丐 Kou
丑 Ushi
丒 Ushi
专 Moppara
且 Katsu
丕 Ookii
世 Yo
丗 Yo
丘 Oka
丙 Hinoe
丞 Sukuu Tasukeru
丟 Saru Nageutsu
丠 Oka
両 Futatsu
丢 Saru Nageutsu
丣 Tori
两 Futatsu
並 Nami Naraberu Narabini
丨 Susumu Shirizoku
丩 Matsuwaru
个 Ko Hi
丫 Hutamata Agemaki
中 Naka Uchi Ataru
丮 Motsu Toru
丯 Sanransuru
丰 Mimeyoi Shigeru
丱 Agemaki Aragane
串 Kushi Tsuranuku
丳 Kushi
丵 Kusanomuragari
丶 Ten Chobo Shirushi
丸 Marui Marumeru Tama
丹 Aka Ni
主 Nushi Omo Aruji
丼 Donburi
丽 Uruwashi
举 Ageru
丿 Motoru
乀 Magaru
乁 Nagareru
乂 Karu Osameru Osamaru
乃 Sunawachi No
乄 Shime Shite
久 Hisashii
乆 Hisashii
之 Yuku Kore No
乍 Tachimachi Nagara
乎 Yo Kana Ka
乏 Toboshii
乑 Narabitatsu
乕 Tora
乖 Modoru Somuku
乗 Noru Noseru
乘 Noru
乙 Kinoto Oto
乚 Kakureru
乜 Yabunirami
九 Kokonotsu
乞 Kou Koi
也 Nari Mata
乢 Kasa Futa Oou
乨 Hajimeru Hajimaru
乩 Uranau
乪 Kuma
乱 Midareru Osameru Midasu
乳 Chichi Chi
乴 Hineru
乵 Susumu
乹 Kawaku Kawakasu
乾 Kawaku Kawakasu Inui
乿 Osameru
亀 Kame
亂 Midareru
亃 Ureru
亄 Musaboru
亅 Kagi
了 Owaru Tsuini
予 Ataeru Arakajime
争 Arasou Arasoi Ikadeka
亊 Koto Tsukau Kototosuru
事 Koto Tsukau Kototosuru
二 Futatsu Futatabi
亍 Tatazumu
于 Kokoni Yuku
亏 Kakeru
云 Iu
互 Tagai
五 Itsutsu
井 I Ido
亖 Yo Yotsu Yottsu Yon
亗 Toshi Yowai
亘 Motomeru Watari
亙 Wataru Watari
些 Isasaka
亜 Tsugu
亝 Sorou Hitoshii Hitoshiku
亞 Tsugu
亟 Sumiyaka
亠 Keisan Nabebuta
亡 Nai Nakunaru Horobiru
亢 Takaburu
交 Majiwaru Majiru Kau
亥 I
亦 Mata
亨 Tatematsuru Tooru
享 Susumeru Ukeru
京 Miyako
亭 Azumaya
亮 Akiraka Suke
亰 Miyako
亱 Yo Yoru
亶 Atsui Makoto
亷 Kado Yasui
亹 Tsutomeru Utsukushii
人 Hito
亼 Atsumaru
亾 Nai Nakunaru Horobiru
什 Kumi Tou Majiru
仁 Hito Itsukushimu
仂 Amari Tsutomeru
仄 Katamuku Honoka
仆 Taoreru
仇 Ada Kataki
今 Ima
介 Tasukeru Suke
仍 Yoru Shikirini Nao
从 Shitagau Yori
仏 Hotoke
仐 Kasa
仔 Taeru
仕 Tsukaeru Tsukamatsuru
他 Hoka
仗 Yoru Mamori Tsuwamono
付 Tsukeru Ataeru Tsuku
仙 Sennin Sento
仚 Tobu
仛 Otome Yoru
仝 Onaji
仞 Hakaru
仟 Kashira
仠 Sokonau
仡 Isamashii
仢 Marukibashi
代 Kawaru Yo Shiro
令 Iitsuke Osa
以 Omou Yueni Motte
仭 Hakaru
仮 Kari Kariru Karini
仯 Saisama
仰 Aogu Oose Aoru
仱 Hokoru Tsutsushimu
仲 Naka
仳 Wakareru
仵 Ataru Aete Sakarau Onaji
件 Kudari Kudan
价 Yoi Ookii Tsukai
任 Makaseru Ninau Taeru
份 Akiraka Uruwashii
仾 Hikumeru Hikumaru
仿 Samayou Narau Kuraberu
伀 Ooyake Osoreru
企 Kuwadateru Kuwadate
伃 Utsukushii
伈 Osoreru
伉 Tagui Narabu
伊 Kore Kare Tada
伋 Kibishii
伌 Kurushimu
伍 Kumi Itsutsu
伎 Waza
伏 Fuseru Shitagau
伐 Kiru Utsu Hokoru
休 Yasumu Ikou Yameru
伒 Tasukeru
伕 Musumemuko
众 Ooi
伙 Hi Ho
会 Au Atsumaru
伜 Segare
伝 Tsutaeru Tsutae Tsutawaru
伡 Kuruma
伣 Ukagau
伩 Makoto Tayori Makaseru
伮 Tsutomeru
伯 Osa Hatagashira
估 Akinau Atai
伳 Ogoru
伴 Tomonau Tomo
伵 Sabishii
伶 Wazaogi
伷 Yotsugi
伸 Nobiru Nobasu
伹 Tsutanai
伺 Ukagau Ukagai
伻 Tsukau
似 Niru
伽 Togi
伾 Ooisama
伿 Okotaru
佀 Hiru
佁 Orokanasama Omou
佂 Osoreawateru
佃 Tsukuda
但 Tadashi Tada
佇 Tatazumu
佈 Amaneshi
