分 Phân
切 Thiết
刊 San
刌 Thổn
刎 Vẫn
刑 Hình
列 Liệt
初 Sơ
刟 Xẻo
删 San
判 Phán
別 Biết
刧 Kiếp
刨 Bào
利 Lợi
到 Đáo
制 Chế
刷 Loát
刺 Thích
刻 Khắc
則 Tắc
削 Tước
前 Tiền
剖 Bo
剝 Bóc
剧 Cưa
剪 Tiện
副 Phó
割 Cắt
創 Sáng
剷 Xẻng
剿 Tiễu
劂 Khoét
劃 Vạch
劄 Chép
劇 Kịch
劍 Kiếm
劑 Tễ
劕 Chặt
力 Lực
功 Công
加 Gia
助 Trợ
劬 Cù
効 Hiệu
劾 Hạch
勁 Cứng
勃 Bột
勇 Dũng
勉 Miễn
勑 Sắc
勒 Lắc
動 Động
勖 Húc
勘 Khám
務 Vụ
勛 Huân
勝 Thắng
勞 Lao
勢 Thế
勤 Cần
勦 Tẹo
勵 Lệ
勸 Khuyến
勺 Chước
勿 Vật
包 Bao
匈 Hung
匍 Bò
匏 Bầu
匐 Bặc
化 Hoá
匝 Táp
匡 Khuôn
匣 Hộp
匪 Phỉ
匬 Tủ
匱 Quĩ
匹 Thất
匼 Hộp
匿 Nặc
區 Khu
十 Thập
千 Thiên
卅 Tạp
升 Thăng
午 Ngọ
半 Bán
卌 Tấp
卒 Tốt
卓 Trác
協 Hiếp
南 Nam
博 Bác
卜 Bốc
卞 Biện
占 Chiêm
卦 Quái
卬 Ngang
卯 Mão
印 Ấn
危 Nguy
卲 Ngoẹo
即 Tức
卷 Quyển
卻 Khước
卿 Khanh
厄 Ách
厓 Day
厔 Chái
厘 Li
厛 Sảnh
厝 Xó
原 Nguyên
厭 Ướm
厲 Lẹ
去 Khứ
參 Tham
又 Lại
及 Cập
友 Hữu
双 Song
反 Phản
叔 Thúc
取 Thủ
受 Thụ
叛 Bạn
叠 Điệp
口 Khẩu
古 Cổ
句 Câu
另 Lánh
叩 Khấu
只 Chỉ
叫 Khiếu
召 Chịu
叭 Bớt
叮 Đinh
可 Khả
台 Thai
叱 Sứt
史 Sử
右 Hữu
号 Hiệu
司 Ti
叻 Sựt
吀 Xiên
吁 Hu
吃 Khật
各 Các
合 Hợp
吉 Cát
同 Đồng
名 Danh
后 Hậu
吏 Lại
吐 Thổ
向 Hướng
吒 Cha
吓 Hách
吔 Dã
吘 Ngỏ
君 Quân
吝 Lận
吟 Ngâm
吣 Tăm
否 Bĩ
吧 Và
吨 Đồn
吩 Phàn
吪 Hoé
含 Hàm
听 Thính
吱 Chê
吲 Dặn
吳 Ngô
吵 Sảo
吸 Cộp
吹 Xuy
吻 Vẫn
吼 Hống
吾 Ngo
吿 Cáo
呀 Nhá
呂 Lã
呃 Nhách
呆 Ngốc
呈 Trình
呌 Khiếu
呎 Xếch
呐 Nói
呞 Te
呠 Bỏm
呡 Răn
呢 Nài
呤 Gầm
呥 Nhẻm
呦 Ạo
周 Chu
呫 Chím
呭 Thé
呱 Oa
味 Vị
呴 Gâu
呵 Ha
呶 Nao
呸 Bậy
呼 Hô
命 Mệnh
呿 Khứa
咀 Thở
咁 Căm
咂 Táp
咄 Xót
咆 Bàu
咈 Phớt
咋 Chạ
和 Hoà
咍 Hay
咏 Vẳng
咐 Phó
咒 Chú
咘 Bú
咚 Giọng
咠 Nghiện
咢 Ngạc
咣 Quàng
咥 Chối
咧 Lác
咬 Rao
咭 Gắt
咮 Chau
咯 Khạc
咳 Cay
咷 Trệu
咹 Ăn
咻 Hiu
咼 Oà
咽 Nhằn
咾 Láo
哀 Ai
品 Phẩm
哃 Đùng
哄 Họng
哆 Đớ
哇 Oà
哈 Hóp
哉 Tai
响 Hưởng
哏 Gắn
員 Viên
哢 Trộng
哣 Nhạu
哥 Ca
哦 Nga
哪 Ná
哬 Hà
哭 Khóc
哮 Hao
哰 Rao
哱 Buột
哲 Triết
哳 Chít
哺 Phô
哽 Ngạnh
哿 Cả
唁 Ngon
唅 Hầm
唇 Thần
唈 Oạp
唉 Hãy
唋 Dứ
唎 Lời
唏 Hơi
唐 Đường
唑 Doạ
唒 Dẫu
唩 Uẩy
唫 Câm
唭 Cười
唯 Dõi
唱 Xướng
唲 Nhè
唶 Tuếch
唷 Dóc
唸 Nếm
唹 Ớ
唻 Lải
唼 Thép
唾 Thoá
唿 Hót
啀 Nhai
啂 Nhổ
啄 Trốc
啅 Chạc
商 Thương
啉 Lăm
啊 À
啌 Hòng
啐 Chót
啒 Quắt
啛 Xê
啜 Xuýt
啣 Hàm
啨 Xênh
啩 Quấy
啫 Gia
啱 Nhàm
啷 Lắng
啺 Dể
啿 Thầm
喁 Ngụm
喂 Ỏi
喃 Nôm
善 Thiện
喇 Lạt
喉 Hầu
喋 Nhịp
喍 Rầy
喎 Oa
喑 Ầm
喓 Eo
喔 Ộc
喘 Suyễn
喚 Hoán
喜 Hỉ
喝 Hát
喟 Vị
喠 Gióng
喡 Vầy
喥 Dạc
喦 Nham
喧 Huyên
喪 Tang
喫 Khịt
喭 Ngán
單 Đơn
喯 Buông
喵 Mếu
喻 Dụ
嗃 Gào
嗉 Nhố
嗎 Mửa
嗔 Xin
嗕 Nhóc
嗗 Cút
嗙 Bàng
嗚 Ô
嗛 Khem
嗡 Óng
嗢 Ồn
嗣 Tự
嗷 Ngao
嗹 Liến
嘆 Han
嘇 Thấm
嘈 Tào
嘍 Làu
嘫 Nhoẻn
嘬 Chối
嘮 Lao
嘲 Trào
嘵 Nghêu
嘶 Tê
嘹 Rêu
嘺 Ghẹo
嘻 Hi
噀 Sún
噁 Ạc
噂 Ton
噅 Vay
噋 Xôn
噎 Ế
噏 Hấp
噒 Rên
噓 Hờ
噔 Đằng
噙 Gầm
噞 Thèm
噠 Đặt
噡 Thèm
噤 Gặm
噥 Nũng
噦 Oẹ
器 Khí
噪 Tháo
噬 Phè
噯 Áy
噲 Gọi
噴 Phún
噶 Gắt
噷 Hăm
嚂 Giạm
嚄 Quác
嚅 Nheo
嚈 Ướm
嚉 Dối
嚋 Trù
嚎 Hào
嚓 Xát
嚕 Rủa
嚛 Nháo
嚜 Mút
嚦 Rích
嚧 Lơ
嚨 Lùng
嚯 Oác
嚴 Nghiêm
嚶 Inh
囂 Hiu
囄 Le
囉 La
囑 Chúc
囒 Rợn
囕 Trộm
囚 Tù
四 Tứ
回 Hồi
因 Nhân
园 Vườn
困 Khốn
囱 Song
囷 Khuân
固 Cố
囻 Quốc
圃 Bo
圈 Khuyên
國 Quốc
圍 Vè
園 Viên
圓 Viên
圖 Đồ
團 Đoàn
土 Thổ
圣 Thánh
在 Tại
圩 Vò
圬 Hũ
圭 Quê
圮 Dãy
圯 Dãy
地 Địa
址 Xởi
坂 Phẳng
均 Quân
坊 Phường
坋 Phân
坎 Khảm
坏 Hoại
坑 Ganh
坟 Vun
坡 Pha
坤 Khôn
坦 Đất
坧 Gạch
坭 Nơi
坵 Gò
垂 Thùy
垃 Lắp
垆 Lò
垉 Bàu
垌 Đồng
垓 Gay
垠 Hằn
垢 Cáu
垮 Khoai
垵 Ang
垹 Bựng
埁 Gậm
埂 Ghềnh
埃 Ai
埇 Thõng
埈 Thoạ
埋 Mai
城 Thành
埕 Chĩnh
埝 Nấm
域 Vực
埣 Giót
埩 Chĩnh
埬 Đống
埮 Vịm
埶 Đệm
執 Chấp
培 Bồi
基 Cơ
堂 Đường
堅 Kiên
堆 Đôi
堤 Đê
堪 Kham
堯 Nghiêu
報 Báo
場 Trường
堷 Om
塊 Khối
塗 Đồ
塘 Đường
塞 Tắc
塤 Ven
填 Điền
塳 Vùng
塵 Trần
塾 Thục
境 Cảnh
墅 Thự
墆 Đai
墓 Mộ
墜 Truỵ
增 Tăng
墩 Đôn
墫 Chôn
墮 Đoạ
墳 Phần
墻 Tường
墾 Khẩn
壁 Bích
壇 Đàn
壈 Bậm
壑 Hác
壓 Áp
壕 Hào
壘 Luỹ
壙 Khoảng
