𝬀 Leibnizian Equals Sign
𝬁 Leibnizian Equals Sign With Double Verticals
𝬂 Leibnizian Equals Sign With Small S
𝬃 Leibnizian Greater-Than
𝬄 Leibnizian Less-Than
𝬅 Leibnizian Greater-Than With Small P
𝬆 Leibnizian Less-Than With Small P
𝬇 Leibnizian Greater-Than Or Less-Than
𝬈 Inverted Square Left Open Box Operator
𝬉 Inverted Square Right Open Box Operator
𝬊 Two-Line Greater-Than
𝬋 Two-Line Less-Than
𝬌 Commensurability
𝬍 Incommensurability
𝬎 Commensurability In Square
𝬏 Incommensurability In Square
𝬐 Cartesian Equals Sign
𝬑 Leibnizian Congruence
𝬒 Leibnizian Congruence With Vertical Bar
𝬓 Leibnizian Congruence-2
𝬔 Leibnizian Congruence-2 Inverted
𝬕 Leibnizian Congruence-2 With Horizontal Bar
𝬖 Leibnizian Congruence-2 With Horizontal And Vertical Bar
𝬗 Leibnizian Coincidence
𝬘 Inverted Lazy S Over Lazy S
𝬙 Leibnizian Similarity
𝬚 Leibnizian Similarity-2
𝬛 Leibnizian Dissimilarity
𝬜 Facit Symbol
