𜰀 Up-Pointing Go-Kart
𜰁 Right-Pointing Go-Kart
𜰂 Left-Pointing Stick Figure
𜰃 Right-Pointing Stick Figure
𜰄 Down-Pointing Stick Figure
𜰅 Lower Horizontal Ruler Segment
𜰆 Right Vertical Ruler Segment
𜰇 Lower Right Ruler Segment
𜰈 Antenna
𜰉 Horizontal Resistor Segment
𜰊 Vertical Resistor Segment
𜰋 Left Third Inductor
𜰌 Middle Third Inductor
𜰍 Right Third Inductor
𜰎 Left-Pointing Diode
𜰏 Right-Pointing Diode
𜰐 Npn Transistor
𜰑 Pnp Transistor
𜰒 Receptacle
𜰓 Horizontal Capacitor
𜰔 Vertical Capacitor
𜰕 Logic Gate Or
𜰖 Logic Gate And
𜰗 Logic Gate Inverted Inputs
𜰘 Logic Gate Inverted Output
𜰙 Logic Gate Buffer
𜰚 Logic Gate Buffer With Inverted Input
𜰛 Box Drawings Light Horizontal And Upper Right
𜰜 Box Drawings Light Horizontal And Lower Right
𜰝 Box Drawings Light Top And Upper Left
𜰞 Box Drawings Light Bottom And Lower Left
𜰟 Box Drawings Double Diagonal Upper Right To Lower Left
𜰠 Box Drawings Double Diagonal Upper Left To Lower Right
𜰡 Separated Block Quadrant-1
𜰢 Separated Block Quadrant-2
𜰣 Separated Block Quadrant-12
𜰤 Separated Block Quadrant-3
𜰥 Separated Block Quadrant-13
𜰦 Separated Block Quadrant-23
𜰧 Separated Block Quadrant-123
𜰨 Separated Block Quadrant-4
𜰩 Separated Block Quadrant-14
𜰪 Separated Block Quadrant-24
𜰫 Separated Block Quadrant-124
𜰬 Separated Block Quadrant-34
𜰭 Separated Block Quadrant-134
𜰮 Separated Block Quadrant-234
𜰯 Separated Block Quadrant-1234
𜰰 Upper Left Twelfth Circle
𜰱 Upper Centre Left Twelfth Circle
𜰲 Upper Centre Right Twelfth Circle
𜰳 Upper Right Twelfth Circle
𜰴 Upper Middle Left Twelfth Circle
𜰵 Upper Left Quarter Circle
𜰶 Upper Right Quarter Circle
𜰷 Upper Middle Right Twelfth Circle
𜰸 Lower Middle Left Twelfth Circle
𜰹 Lower Left Quarter Circle
𜰺 Lower Right Quarter Circle
𜰻 Lower Middle Right Twelfth Circle
𜰼 Lower Left Twelfth Circle
𜰽 Lower Centre Left Twelfth Circle
𜰾 Lower Centre Right Twelfth Circle
𜰿 Lower Right Twelfth Circle
𜱀 Sparse Horizontal Fill
𜱁 Sparse Vertical Fill
𜱂 Orthogonal Crosshatch Fill
𜱃 Diagonal Crosshatch Fill
𜱄 Dense Vertical Fill
𜱅 Dense Horizontal Fill
𜱆 Speckle Fill Frame-1
𜱇 Speckle Fill Frame-2
𜱈 Left-Facing Bassinet
𜱉 Right-Facing Bassinet
𜱊 Flying Saucer With Beams
𜱋 Flying Saucer Without Beams
𜱌 Alien Monster Open Jaws
𜱍 Alien Monster Closed Jaws
𜱎 Alien Squid Open Tentacles
𜱏 Alien Squid Closed Tentacles
𜱐 Alien Crab Stepping Right
𜱑 Alien Crab Stepping Left
𜱒 Alien Spider Crouching
𜱓 Alien Spider Spread
𜱔 Alien Monster Step-1
𜱕 Alien Monster Step-2
𜱖 Left-Pointing Rocket Ship
𜱗 Up-Pointing Rocket Ship
𜱘 Right-Pointing Rocket Ship
𜱙 Down-Pointing Rocket Ship
𜱚 Top Half Left-Facing Robot
𜱛 Top Half Forward-Facing Robot
𜱜 Top Half Right-Facing Robot
𜱝 Bottom Half Left-Facing Robot
𜱞 Bottom Half Forward-Facing Robot
𜱟 Bottom Half Right-Facing Robot
𜱠 Left-Pointing Atomic Bomb
𜱡 Up-Pointing Atomic Bomb
𜱢 Right-Pointing Atomic Bomb
𜱣 Down-Pointing Atomic Bomb
𜱤 Mushroom Cloud
𜱥 Left-Pointing Rifle
𜱦 Up-Pointing Rifle
𜱧 Right-Pointing Rifle
𜱨 Down-Pointing Rifle
𜱩 Eight Rays Inward
𜱪 Eight Rays Outward
𜱫 Black Large Circle Minus Left Quarter Section
𜱬 Black Large Circle Minus Upper Quarter Section
𜱭 Black Large Circle Minus Right Quarter Section
𜱮 Black Large Circle Minus Lower Quarter Section
𜱯 Black Neutral Face
𜱰 Left-Facing Snake Head With Open Mouth
𜱱 Up-Facing Snake Head With Open Mouth
𜱲 Right-Facing Snake Head With Open Mouth
𜱳 Down-Facing Snake Head With Open Mouth
𜱴 Left-Facing Snake Head With Closed Mouth
𜱵 Up-Facing Snake Head With Closed Mouth
𜱶 Right-Facing Snake Head With Closed Mouth
𜱷 Down-Facing Snake Head With Closed Mouth
𜱸 Left-Pointing Energy Wave
𜱹 Up-Pointing Energy Wave
𜱺 Right-Pointing Energy Wave
𜱻 Down-Pointing Energy Wave
𜱼 Square Spiral From Top Left
𜱽 Square Spiral From Top Right
𜱾 Square Spiral From Bottom Right
𜱿 Square Spiral From Bottom Left
𜲀 Striped Left-Pointing Triangle
𜲁 Striped Up-Pointing Triangle
𜲂 Striped Right-Pointing Triangle
𜲃 Striped Down-Pointing Triangle
𜲄 Vertical Ladder
𜲅 Horizontal Ladder
𜲆 White Lower Left Pointer
𜲇 White Lower Right Pointer
𜲈 Two Rings Aligned Horizontally
𜲉 Square Four Corner Saltires
𜲊 Square Four Corner Diagonals
𜲋 Square Four Corner Black Triangles
𜲌 Square Aperture
𜲍 Inverse Black Diamond
𜲎 Left And Upper One Eighth Block Containing Black Small Square
𜲏 Inverse Black Small Square
𜲐 Vertical Line With Four Tick Marks
𜲑 Horizontal Line With Four Tick Marks
𜲒 Left-Facing Fish
𜲓 Right-Facing Fish
𜲔 Left-Facing Fish With Open Mouth
𜲕 Right-Facing Fish With Open Mouth
𜲖 Flapping Bird
𜲗 Left-Pointing Racing Car
𜲘 Up-Pointing Racing Car
𜲙 Right-Pointing Racing Car
𜲚 Down-Pointing Racing Car
𜲛 Horizontal Racing Car
𜲜 Vertical Racing Car
𜲝 Vertical Go-Kart
𜲞 Left-Pointing Tank
𜲟 Right-Pointing Tank
𜲠 Left-Pointing Rocket Booster
𜲡 Right-Pointing Rocket Booster
𜲢 Left-Pointing Roller Coaster Car
𜲣 Right-Pointing Roller Coaster Car
𜲤 Left Half Flying Saucer
𜲥 Right Half Flying Saucer
𜲦 Upper Left Quadrant Face With Open Eyes
𜲧 Upper Right Quadrant Face With Open Eyes
𜲨 Upper Left Quadrant Face With Closed Eyes
𜲩 Upper Right Quadrant Face With Closed Eyes
𜲪 Lower Left Quadrant Smiling Face
𜲫 Lower Right Quadrant Smiling Face
𜲬 Lower Left Quadrant Neutral Face
𜲭 Lower Right Quadrant Neutral Face
𜲮 Lower Left Quadrant Face With Open Mouth
𜲯 Lower Right Quadrant Face With Open Mouth
𜲰 Lower Left Quadrant Frowning Face
𜲱 Lower Right Quadrant Frowning Face
𜲲 Upper Left Quadrant Television
𜲳 Upper Right Quadrant Television
𜲴 Lower Left Quadrant Television
𜲵 Lower Right Quadrant Television
𜲶 Upper Left Quadrant Microcomputer
𜲷 Upper Right Quadrant Microcomputer
𜲸 Lower Left Quadrant Microcomputer
𜲹 Lower Right Quadrant Microcomputer
𜲺 Upper Left Quadrant Chess King
𜲻 Upper Right Quadrant Chess King
𜲼 Lower Left Quadrant Chess King
𜲽 Lower Right Quadrant Chess King
𜲾 Upper Left Quadrant Chess Queen
𜲿 Upper Right Quadrant Chess Queen
𜳀 Lower Left Quadrant Chess Queen
𜳁 Lower Right Quadrant Chess Queen
