᳐ Vedic Tone Karshana
᳑ Vedic Tone Shara
᳒ Vedic Tone Prenkha
᳓ Vedic Sign Nihshvasa
᳔ Vedic Sign Yajurvedic Midline Svarita
᳕ Vedic Tone Yajurvedic Aggravated Independent Svarita
᳖ Vedic Tone Yajurvedic Independent Svarita
᳗ Vedic Tone Yajurvedic Kathaka Independent Svarita
᳘ Vedic Tone Candra Below
᳙ Vedic Tone Yajurvedic Kathaka Independent Svarita Schroeder
᳚ Vedic Tone Double Svarita
᳛ Vedic Tone Triple Svarita
᳜ Vedic Tone Kathaka Anudatta
᳝ Vedic Tone Dot Below
᳞ Vedic Tone Two Dots Below
᳟ Vedic Tone Three Dots Below
᳠ Vedic Tone Rigvedic Kashmiri Independent Svarita
᳡ Vedic Tone Atharvavedic Independent Svarita
᳢ Vedic Sign Visarga Svarita
᳣ Vedic Sign Visarga Udatta
᳤ Vedic Sign Reversed Visarga Udatta
᳥ Vedic Sign Visarga Anudatta
᳦ Vedic Sign Reversed Visarga Anudatta
᳧ Vedic Sign Visarga Udatta With Tail
᳨ Vedic Sign Visarga Anudatta With Tail
ᳩ Vedic Sign Anusvara Antargomukha
ᳪ Vedic Sign Anusvara Bahirgomukha
ᳫ Vedic Sign Anusvara Vamagomukha
ᳬ Vedic Sign Anusvara Vamagomukha With Tail
᳭ Vedic Sign Tiryak
ᳮ Vedic Sign Hexiform Long Anusvara
ᳯ Vedic Sign Long Anusvara
ᳰ Vedic Sign Rthang Long Anusvara
ᳱ Vedic Sign Anusvara Ubhayato Mukha
ᳲ Vedic Sign Ardhavisarga
ᳳ Vedic Sign Rotated Ardhavisarga
᳴ Vedic Tone Candra Above
ᳵ Vedic Sign Jihvamuliya
ᳶ Vedic Sign Upadhmaniya
᳷ Vedic Sign Atikrama
᳸ Vedic Tone Ring Above
᳹ Vedic Tone Double Ring Above
ᳺ Vedic Sign Double Anusvara Antargomukha
